Period,Hour and minute (Base),R+ Uplift H (%),R- Uplift H (%)
1,00:00,,
2,00:10,,
3,00:20,,
4,00:30,,
5,00:40,,
6,00:50,,
7,01:00,,
8,01:10,,
9,01:20,,
10,01:30,,
11,01:40,,
12,01:50,,
13,02:00,,
14,02:10,,
15,02:20,,
16,02:30,,
17,02:40,,
18,02:50,,
19,03:00,,
20,03:10,,
21,03:20,,
22,03:30,,
23,03:40,,
24,03:50,,
25,04:00,,
26,04:10,,
27,04:20,,
28,04:30,,
29,04:40,,
30,04:50,,
31,05:00,,
32,05:10,,
33,05:20,,
34,05:30,,
35,05:40,,
36,05:50,,
37,06:00,,
38,06:10,,
39,06:20,,
40,06:30,,
41,06:40,,
42,06:50,,
43,07:00,0.56,0.63
44,07:10,0.56,0.63
45,07:20,0.56,0.63
46,07:30,0.56,0.63
47,07:40,0.56,0.63
48,07:50,0.56,0.63
49,08:00,0.87,0.85
50,08:10,0.87,0.85
51,08:20,0.87,0.85
52,08:30,0.87,0.85
53,08:40,0.87,0.85
54,08:50,0.87,0.85
55,09:00,0.46,0.4
56,09:10,0.46,0.4
57,09:20,0.46,0.4
58,09:30,0.46,0.4
59,09:40,0.46,0.4
60,09:50,0.46,0.4
61,10:00,0.4,0.36
62,10:10,0.4,0.36
63,10:20,0.4,0.36
64,10:30,0.4,0.36
65,10:40,0.4,0.36
66,10:50,0.4,0.36
67,11:00,0.99,0.27
68,11:10,0.99,0.27
69,11:20,0.99,0.27
70,11:30,0.99,0.27
71,11:40,0.99,0.27
72,11:50,0.99,0.27
73,12:00,0.71,0.78
74,12:10,0.71,0.78
75,12:20,0.71,0.78
76,12:30,0.71,0.78
77,12:40,0.71,0.78
78,12:50,0.71,0.78
79,13:00,0.46,0.62
80,13:10,0.46,0.62
81,13:20,0.46,0.62
82,13:30,0.46,0.62
83,13:40,0.46,0.62
84,13:50,0.46,0.62
85,14:00,0.56,0.81
86,14:10,0.56,0.81
87,14:20,0.56,0.81
88,14:30,0.56,0.81
89,14:40,0.56,0.81
90,14:50,0.56,0.81
91,15:00,0.96,0.92
92,15:10,0.96,0.92
93,15:20,0.96,0.92
94,15:30,0.96,0.92
95,15:40,0.96,0.92
96,15:50,0.96,0.92
97,16:00,0.51,0.5
98,16:10,0.51,0.5
99,16:20,0.51,0.5
100,16:30,0.51,0.5
101,16:40,0.51,0.5
102,16:50,0.51,0.5
103,17:00,0.55,0.48
104,17:10,0.55,0.48
105,17:20,0.55,0.48
106,17:30,0.55,0.48
107,17:40,0.55,0.48
108,17:50,0.55,0.48
109,18:00,0.65,0.31
110,18:10,0.65,0.31
111,18:20,0.65,0.31
112,18:30,0.65,0.31
113,18:40,0.65,0.31
114,18:50,0.65,0.31
115,19:00,0.5,0.8
116,19:10,0.5,0.8
117,19:20,0.5,0.8
118,19:30,0.5,0.8
119,19:40,0.5,0.8
120,19:50,0.5,0.8
121,20:00,0.57,0
122,20:10,0.57,0
123,20:20,0.57,0
124,20:30,0.57,0
125,20:40,0.57,0
126,20:50,0.57,0
127,21:00,1.39,0.43
128,21:10,1.39,0.43
129,21:20,1.39,0.43
130,21:30,1.39,0.43
131,21:40,1.39,0.43
132,21:50,1.39,0.43
133,22:00,,
134,22:10,,
135,22:20,,
136,22:30,,
137,22:40,,
138,22:50,,
139,23:00,,
140,23:10,,
141,23:20,,
142,23:30,,
143,23:40,,
144,23:50,,
